device_type,cpu,consumption,delta,fps,pixel,in_time
Laptop,50,22,37,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,51,22,43,15,1080,True
Laptop,49,22,36,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,48,22,38,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,51,22,40,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,48,22,38,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,49,22,36,15,1080,True
Laptop,51,22,39,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,51,22,39,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,52,22,38,15,1080,True
Laptop,48,22,37,15,1080,True
Laptop,52,22,42,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,37,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,50,22,36,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,50,22,37,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,48,22,37,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,53,22,38,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,51,22,39,15,1080,True
Laptop,49,22,43,15,1080,True
Laptop,48,22,38,15,1080,True
Laptop,51,22,38,15,1080,True
Laptop,49,22,37,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,49,22,43,15,1080,True
Laptop,48,22,38,15,1080,True
Laptop,52,22,39,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,44,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,43,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,51,22,44,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,50,22,38,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,50,22,44,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,51,22,40,15,1080,True
Laptop,50,22,43,15,1080,True
Laptop,51,22,39,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,49,22,38,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,52,22,43,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,43,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,50,22,43,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,51,22,42,15,1080,True
Laptop,51,22,39,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,51,22,40,15,1080,True
Laptop,49,22,42,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,39,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,49,22,39,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,49,22,40,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,50,22,40,15,1080,True
Laptop,47,22,41,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,49,22,42,15,1080,True
Laptop,51,22,41,15,1080,True
Laptop,50,22,42,15,1080,True
Laptop,48,22,40,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,50,22,41,15,1080,True
Laptop,52,22,42,15,1080,True
Laptop,55,22,42,15,1080,True
Laptop,49,22,41,15,1080,True
Laptop,49,22,42,15,1080,True
Laptop,52,22,41,15,1080,True
Laptop,48,22,40,15,1080,True
Laptop,50,22,44,15,1080,True
Laptop,55,22,52,15,1080,True
Laptop,55,22,46,15,1080,True
Laptop,52,22,44,15,1080,True
Laptop,51,22,46,15,1080,True
Laptop,53,22,54,15,1080,True
Laptop,53,22,49,15,1080,True
Laptop,53,22,57,15,1080,True
Laptop,62,23,59,20,1080,False
Laptop,55,22,43,20,1080,True
Laptop,54,22,50,20,1080,True
Laptop,54,22,58,20,1080,False
Laptop,55,22,44,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,53,22,41,20,1080,True
Laptop,51,22,45,20,1080,True
Laptop,55,22,59,20,1080,False
Laptop,55,22,45,20,1080,True
Laptop,58,22,56,20,1080,False
Laptop,53,22,45,20,1080,True
Laptop,55,22,55,20,1080,False
Laptop,58,22,56,20,1080,False
Laptop,60,22,54,20,1080,False
Laptop,55,22,43,20,1080,True
Laptop,55,22,56,20,1080,False
Laptop,55,22,57,20,1080,False
Laptop,59,22,56,20,1080,False
Laptop,54,22,47,20,1080,True
Laptop,54,22,57,20,1080,False
Laptop,54,22,46,20,1080,True
Laptop,56,22,55,20,1080,False
Laptop,55,22,46,20,1080,True
Laptop,52,22,47,20,1080,True
Laptop,51,22,41,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,50,22,41,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,52,22,41,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,59,22,43,20,1080,True
Laptop,57,22,43,20,1080,True
Laptop,59,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,56,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,50,22,41,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,55,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,62,23,45,20,1080,True
Laptop,58,22,44,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,61,23,48,20,1080,True
Laptop,62,23,43,20,1080,True
Laptop,55,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,55,22,42,20,1080,True
Laptop,60,22,44,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,55,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,57,22,44,20,1080,True
Laptop,57,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,55,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,57,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,54,22,42,20,1080,True
Laptop,55,22,44,20,1080,True
Laptop,55,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,55,22,44,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,53,22,45,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,50,22,42,20,1080,True
Laptop,52,22,42,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,53,22,42,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,51,22,45,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,49,22,44,20,1080,True
Laptop,56,22,43,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,42,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,52,22,45,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,53,22,46,20,1080,True
Laptop,50,22,46,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,54,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,54,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,54,22,44,20,1080,True
Laptop,53,22,43,20,1080,True
Laptop,49,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,52,22,43,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,58,22,45,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,52,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,53,22,44,20,1080,True
Laptop,49,22,44,20,1080,True
Laptop,53,22,45,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,54,22,44,20,1080,True
Laptop,50,22,43,20,1080,True
Laptop,51,22,43,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,51,22,44,20,1080,True
Laptop,50,22,44,20,1080,True
Laptop,60,22,45,25,1080,False
Laptop,54,22,42,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,51,22,45,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,54,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,50,22,42,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,54,22,42,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,51,22,41,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,56,22,42,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,57,22,43,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,56,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,50,22,42,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,57,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,54,22,42,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,58,22,42,25,1080,False
Laptop,60,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,56,22,46,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,59,22,45,25,1080,False
Laptop,51,22,44,25,1080,False
Laptop,61,23,46,25,1080,False
Laptop,50,22,42,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,56,22,43,25,1080,False
Laptop,65,23,45,25,1080,False
Laptop,64,23,45,25,1080,False
Laptop,60,22,44,25,1080,False
Laptop,72,23,48,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,71,23,46,25,1080,False
Laptop,58,22,47,25,1080,False
Laptop,58,22,44,25,1080,False
Laptop,55,22,44,25,1080,False
Laptop,60,23,44,25,1080,False
Laptop,58,22,43,25,1080,False
Laptop,59,22,43,25,1080,False
Laptop,54,22,44,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,55,22,44,25,1080,False
Laptop,49,22,42,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,55,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,54,22,46,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,51,22,43,25,1080,False
Laptop,56,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,55,22,44,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,58,22,43,25,1080,False
Laptop,55,22,44,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,51,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,57,22,44,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,54,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,51,22,42,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,57,22,48,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,59,22,45,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,51,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,54,22,44,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,54,22,44,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,55,22,44,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,60,23,45,25,1080,False
Laptop,53,22,45,25,1080,False
Laptop,53,22,42,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,42,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,50,22,43,25,1080,False
Laptop,57,22,44,25,1080,False
Laptop,52,22,44,25,1080,False
Laptop,51,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,53,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,52,22,43,25,1080,False
Laptop,51,22,43,25,1080,False
Laptop,56,22,44,25,1080,False
Laptop,52,22,46,25,1080,False
Laptop,54,22,44,25,1080,False
Laptop,53,22,44,25,1080,False
Laptop,53,22,44,25,1080,False
